Characteristic,Intensity,2016_Michigan_Port Huron,2016_Oregon_Portland,2017_Michigan_Salem,2017_Oregon_Detroit,2020_Michigan_Flint,2020_Oregon_Redmond,Maximum
Humidity,31-40,5.08,7.55,16.96,15.03,20.59,23.15,23.15
,Breeze,27.33,1.61,10.35,2.52,16.30,17.10,27.33
,Low,5.49,3.65,4.62,12.02,19.35,22.15,22.15
Temperature,0-10,5.82,4.05,14.78,14.11,19.39,1.09,19.39
,Calm,0.61,2.65,15.42,16.15,22.64,26.12,26.12
,High,5.32,2.18,4.52,11.59,5.56,20.50,20.50
Wind,21-30,24.45,6.60,14.08,14.99,19.67,24.56,24.56
,Calm,26.52,0.50,9.21,2.02,16.29,9.72,26.52
,Medium,27.59,1.10,7.54,11.26,18.46,18.64,27.59
Maximum,,27.59,7.55,16.96,16.15,22.64,26.12,27.59
