DD,EE,AApqr_BBnqx_CCbt,AApqr_BBgv_CCbt,AApqr_BBnry_CCbt,AAgqt_BBhpt_CCkrs,AAgqt_BBdfv_CCkrs,AAgqt_BBfnw_CCkrs,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx
DDcy,EEjvz,16.40,-35.09,-39.03,-77.57,-14.18,43.92,72.53,-53.11
,EEkqy,22.34,-32.70,-95.05,-74.96,-8.01,47.69,81.52,-48.61
,EEcrv,3.39,-41.44,94.26,-84.26,-21.00,29.97,66.63,-65.22
,EEmpy,12.60,-38.49,-8.09,-80.20,-18.55,38.75,69.06,-59.45
,EEbkv,2.69,-44.71,87.68,-94.01,-36.04,26.04,59.63,-72.70
DDmx,EEksy,16.94,-43.23,-42.03,-80.57,-16.18,38.30,72.36,-55.01
,EEqz,3.60,-44.31,91.07,-85.30,-27.50,26.01,64.47,-67.61
,EEbhk,9.82,-47.39,97.31,-82.00,-21.23,37.50,68.58,-61.04
,EEmz,-0.55,-48.27,84.38,-93.45,-30.75,23.52,58.87,-76.49
,EEbkv,22.76,-33.52,-97.81,-76.12,-10.76,46.99,81.96,-48.82
DDcjx,EEkqy,2.08,-48.98,89.41,-89.87,-28.64,27.34,58.56,-69.53
,EEqz,24.93,-35.05,-94.33,-76.48,-6.45,49.02,82.06,-47.33
,EEmz,19.41,-35.11,-98.73,-76.06,-13.58,45.52,77.10,-52.39
,EEhq,14.85,-37.00,-0.68,-79.07,-17.41,39.90,71.23,-59.68
,EEdhv,3.24,-40.66,97.26,-82.09,-20.23,27.51,67.17,-63.89
