DD,EE,AApqr_BBnry_CCbpv,AApqr_BBgv_CCcqx,AApqr_BBnqx_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCkrs
DDcjx,EEqz,-99.09,-3.95,27.15,58.47,-74.76,74.39,-41.61
,EEhq,94.42,-10.68,12.53,38.54,-82.21,61.58,-53.68
,EEdhv,85.92,-34.48,10.90,36.26,-87.32,62.51,-60.44
,EEmz,-8.02,-7.33,19.60,48.53,-79.23,70.65,-44.98
,EEkqy,81.39,-33.28,7.89,32.01,-91.37,60.82,-66.51
DDmx,EEbhk,85.84,-28.05,7.45,37.98,-88.63,62.04,-57.43
,EEbkv,-5.16,-5.60,22.54,51.85,-77.64,62.99,-44.83
,EEqz,83.97,-33.24,8.34,32.87,-90.12,62.87,-66.11
,EEmz,80.96,-35.02,3.91,26.74,-99.58,59.51,-74.61
,EEksy,94.94,-9.33,15.94,42.14,-79.86,67.12,-52.06
DDcy,EEbkv,81.40,-35.19,6.60,31.68,-95.55,60.69,-73.98
,EEcrv,84.09,-32.47,9.06,34.63,-88.77,60.05,-63.16
,EEjvz,98.86,-8.21,16.69,42.67,-79.07,64.03,-46.64
,EEmpy,87.70,-11.87,11.88,37.93,-86.44,64.23,-55.44
,EEkqy,-0.82,-4.05,26.68,54.09,-75.88,66.20,-42.77
Average,,56.43,-19.52,13.81,40.43,-85.10,63.98,-56.28
