DD,EE,AAgqt_BBnry_CCkrs,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBhpt_CCbt,AApqr_BBlmr_CCbt,Average
DDcy,EEcrv,79.14,-94.91,10.35,-34.99,-68.52,-21.79
,EEbkv,80.93,-88.52,-45.25,-26.82,59.80,-3.97
,EEmpy,79.08,41.67,27.38,-29.20,-61.31,11.52
DDcjx,EEhq,83.18,-84.68,28.23,-28.58,68.83,13.40
,EEkqy,-47.19,-22.36,-43.87,41.16,-66.62,-27.78
,EEdhv,80.78,-89.73,18.72,96.27,-65.25,8.16
DDmx,EEbhk,80.38,40.24,26.55,-30.07,-62.57,10.91
,EEmz,13.30,40.14,-46.61,-31.13,-70.28,-18.91
,EEqz,69.75,37.25,7.34,92.42,-69.78,27.40
Average,,57.71,-24.54,-1.91,5.45,-37.30,-0.12
