DD,EE,AApqr_BBnry_CCkrs,AApqr_BBgv_CCbt,AApqr_BBnqx_CCbt,AAhpx_BBlmr_CCbt,AAhpx_BBlsx_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBdfv_CCkrs,AAgqt_BBhpt_CCbt,Average
DDcy,EEmz,80.51,-38.54,15.70,54.72,-57.93,30.02,-12.45,-95.29,-2.91
,EEmpy,75.97,-41.46,12.36,46.22,-64.09,28.51,-17.83,-98.93,-7.41
,EEcrv,72.85,-43.60,8.85,40.80,-73.94,18.86,-25.62,97.51,11.96
,EEbkv,66.54,-48.56,5.30,35.74,-82.25,21.15,-30.57,87.69,6.88
,EEqz,82.80,-39.31,18.54,59.57,-53.44,31.05,-9.83,-87.63,0.22
DDcjx,EEhq,74.52,-41.15,11.51,46.92,-61.54,28.36,-14.72,-97.94,-6.76
,EEcrv,84.25,-32.30,19.30,58.24,-51.67,35.50,-1.50,-87.36,3.06
,EEkqy,70.69,-48.85,7.43,35.72,-82.89,22.67,-29.06,89.23,8.12
,EEbkv,81.86,-36.92,15.43,56.44,-56.24,32.09,-11.53,-95.67,-1.82
,EEdhv,73.93,-43.08,10.29,41.99,-73.17,23.90,-25.75,0.11,1.03
DDmx,EEmz,59.01,-51.45,2.62,35.80,-86.43,20.79,-31.38,82.42,3.92
,EEbhk,74.04,-41.26,11.73,45.05,-70.55,26.46,-19.79,-99.29,-9.20
,EEkqy,82.60,-38.90,8.30,58.05,-56.54,33.19,-10.40,-89.16,-1.61
,EEqz,71.48,-47.41,8.82,38.90,-75.92,22.41,-25.28,95.13,11.02
,EEksy,72.64,-38.70,10.23,51.60,-59.04,30.14,-13.49,-95.59,-5.28
Average,,74.91,-42.10,11.09,47.05,-67.04,27.01,-18.61,-26.32,0.75
