DD,EE,AAgqt_BBhpt_CCbt,AAgqt_BBfnw_CCkrs,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCbt,AApqr_BBgv_CCbt,AApqr_BBnqx_CCbt,AApqr_BBnry_CCkrs
DDcy,EEbkv,-80.30,46.80,-58.25,76.67,-25.04,20.61,-3.78
,EEmpy,-79.45,41.17,-57.56,82.43,-22.66,23.47,95.28
,EEjvz,-73.02,49.42,-53.89,84.38,-14.84,24.08,0.36
,EEcrv,-85.59,38.75,-60.75,73.16,-28.35,16.34,90.23
DDcjx,EEdfk,-70.67,53.02,-55.96,86.17,-14.81,27.01,-7.65
,EEdhv,-80.26,39.93,-58.66,73.43,-27.43,18.00,95.79
,EEkqy,-78.74,47.16,-57.57,74.61,-21.88,21.00,-5.48
,EEhq,-77.10,36.34,-55.92,83.41,-22.77,24.90,98.62
DDmx,EEmz,-81.56,44.62,-58.03,73.39,-29.40,15.94,-8.19
,EEksy,-76.98,38.06,-54.03,81.04,-21.60,24.29,32.33
,EEbhk,-79.16,39.45,-57.73,81.19,-26.11,20.87,95.70
,EEqz,-88.34,37.57,-62.73,70.70,-29.60,9.51,93.68
