DD,EE,AApqr_BBlmr_CCcqx,AApqr_BBhpt_CCkrs,AApqr_BBnqx_CCbt,AAgqt_BBnry_CCbt,AAgqt_BBfnw_CCkrs,Average
DDcy,EEjvz,-61.52,-12.01,18.74,-34.55,-73.25,-32.52
,EEmpy,67.35,-15.53,9.15,90.23,-85.47,13.15
,EEcrv,-72.44,-5.83,5.74,-9.27,42.53,-7.85
,EEbkv,4.48,-16.26,13.07,88.77,-20.62,13.89
DDcjx,EEdfk,-57.49,-14.00,19.75,-33.38,-72.29,-31.48
,EEhq,68.91,-15.11,15.36,90.03,51.04,42.05
,EEkqy,-60.19,-14.04,14.40,-41.16,-15.99,-23.40
,EEdhv,-66.87,-20.86,3.63,-44.10,-85.48,-42.74
DDmx,EEmz,-61.26,-20.86,11.69,23.59,-22.83,-13.94
,EEqz,63.91,-27.88,5.94,-51.18,41.26,6.41
,EEbhk,-64.55,-18.54,8.08,-39.48,-84.33,-39.76
,EEksy,69.91,-13.68,16.00,-37.62,-75.56,-8.19
Average,,-14.15,-16.22,11.80,0.16,-33.42,-10.37
