CC,DD,AAmz_BBcjx,AAmz_BBgqt,AApqr_BBnqx,AApqr_BBbkv
CChpx,DDlmr,93.10,43.69,13.82,75.76
,DDqz,-5.45,-56.60,42.83,-39.75
,DDdlz,99.70,60.18,34.25,80.94
,DDkrs,-17.91,66.32,-91.16,-43.01
,DDcmp,97.96,53.76,17.01,74.55
CCbt,DDlmr,-12.77,70.79,-91.01,87.12
,DDcwz,-33.81,-82.30,14.71,75.77
,DDbmz,98.20,-72.81,22.91,76.18
,DDmpy,-22.83,-67.38,-93.80,84.22
,DDmx,-39.79,43.76,1.45,73.11
CCfnw,DDgv,-29.82,-69.85,25.33,80.84
,DDqz,96.13,-80.51,16.85,-57.78
,DDcwz,-11.08,71.28,-87.31,-41.22
,DDkrs,92.93,42.76,1.08,72.13
,DDmx,-21.01,60.12,36.40,85.79
