CC,DD,AAcy_BBhpt,AAcy_BBbkv,AApqr_BBbgp,AApqr_BBnqx,AApqr_BBcjx,AAmz_BBbpv,AAmz_BBgqt,Average
CChpx,,5.55,-33.83,-7.96,10.61,29.22,38.51,-5.59,5.22
,  DDlmr,-40.71,-80.13,-14.63,3.71,69.45,79.20,32.22,7.02
,  DDmx,95.47,-73.33,-1.79,19.10,74.81,-44.20,42.51,16.08
,  DDcmp,-38.11,51.98,-7.45,9.01,-56.61,80.52,-91.49,-7.45
CCfnw,,-38.57,49.10,-11.76,8.77,-14.65,-4.92,-7.46,-2.79
,  DDqz,-38.24,50.38,-10.73,8.00,-57.07,-48.87,37.58,-8.42
,  DDgv,-33.74,54.14,-2.07,17.75,-54.70,-44.16,37.14,-3.66
,  DDkrs,-43.74,42.77,-22.49,0.55,67.83,78.27,-97.10,3.73
CCbt,,3.78,-37.41,-14.10,5.91,-15.52,-51.04,-55.10,-23.35
,  DDmx,-42.85,43.77,-23.98,-0.94,-61.66,-58.44,21.73,-17.48
,  DDcwz,88.78,-80.50,-12.05,7.55,-58.18,-48.65,-95.69,-28.39
,  DDbmz,-34.59,-75.50,-6.27,11.13,73.28,-46.02,-91.34,-24.19
