CC,DD,AAmz_BBdhv,AAmz_BBgqt,AAmz_BBbpv,AAcy_BBhpt,AAcy_BBbkv,AApqr_BBcjx,AApqr_BBbgp,AApqr_BBnqx,Average
CChpx,,-12.15,44.15,-82.62,-56.44,71.77,59.43,-32.41,13.67,0.68
,  DDlmr,-11.70,42.98,-82.26,-55.70,73.58,-6.70,-31.36,14.78,-7.05
,  DDdlz,-8.42,45.53,-79.52,-54.78,73.62,96.70,-29.91,15.65,7.36
,  DDcmp,-16.33,43.95,-86.08,-58.84,68.12,88.29,-35.96,10.59,1.72
CCbt,,-15.03,37.97,-86.61,-59.51,68.92,88.23,-34.94,11.43,1.31
,  DDmx,-15.84,37.70,-86.53,-60.27,67.95,89.96,-36.93,11.19,0.90
,  DDbmz,-10.61,43.58,-83.37,-56.28,71.05,89.52,-31.66,15.68,4.74
,  DDcwz,-18.65,32.63,-89.93,-61.97,67.77,85.21,-36.23,7.41,-1.72
CCfnw,,-14.80,40.80,-84.81,-58.19,70.32,55.94,-34.55,11.97,-1.66
,  DDqz,-19.86,36.64,-88.01,-60.60,68.74,85.71,-35.44,8.39,-0.55
,  DDkrs,-13.54,39.77,-84.00,-57.94,70.53,-8.43,-37.50,11.82,-9.91
,  DDgv,-10.99,45.98,-82.41,-56.03,71.70,90.54,-30.71,15.70,5.47
Average,,-13.99,40.97,-84.68,-58.04,70.34,67.87,-33.97,12.36,0.11
,  ,-13.99,40.97,-84.68,-58.04,70.34,67.87,-33.97,12.36,0.11
