CC,DD,AApqr_BBnqx,AApqr_BBbgp,AApqr_BBcjx,AAcy_BBbkv,AAcy_BBhpt,AAmz_BBbpv,AAmz_BBgqt
CCbt,,11.50,-14.14,-70.72,4.48,5.98,32.39,-10.23
,  DDbmz,22.84,-4.09,-61.10,52.09,-31.83,80.53,-91.25
,  DDmx,4.84,-23.30,-75.67,-87.33,87.59,-58.50,27.59
,  DDcwz,6.81,-15.03,-75.40,48.67,-37.81,75.14,32.98
CCfnw,,13.13,-10.27,-23.23,4.92,50.62,-52.67,33.86
,  DDqz,11.67,-8.40,63.20,47.17,95.00,-52.35,35.24
,  DDgv,23.20,-3.70,-60.24,-76.72,-31.96,-45.64,38.77
,  DDkrs,4.53,-18.71,-72.66,44.32,88.83,-60.01,27.58
CChpx,,18.38,-8.51,-21.81,8.83,9.83,35.04,-50.49
,  DDdlz,26.93,-1.74,-60.75,-73.94,-28.81,85.90,39.60
,  DDlmr,6.77,-17.20,-70.13,47.70,-38.96,-59.50,-98.32
,  DDcmp,21.44,-6.60,65.45,52.74,97.26,78.71,-92.76
