CC,DD,AAdk_BBtw,AAdk_BBmn,AAdn_BBpw,AAdn_BBrv
CCbx,,-14.08,38.61,-17.67,16.06
,  DDrz,13.83,-56.21,-25.92,54.36
,  DDcs,-98.74,80.83,-21.79,-71.05
,  DDnw,42.67,91.22,-5.29,64.87
CCst,,-21.05,78.82,19.57,13.21
,  DDnw,12.52,69.92,99.53,53.24
,  DDnt,-88.01,88.38,-17.09,58.92
,  DDlp,12.35,78.16,-23.72,-72.52
CChv,,17.98,-9.36,18.85,-74.96
,  DDhm,38.68,-47.70,-17.02,-70.54
,  DDnt,1.75,-59.31,97.86,-80.80
,  DDcl,13.50,78.94,-24.30,-73.54
Average,,-5.72,36.03,6.92,-15.23
,  ,-5.72,36.03,6.92,-15.23
