CC,DD,AAmz_BBbpv,AAmz_BBdhv,AAmz_BBgqt,AAcy_BBbsz,AAcy_BBbkv,AAcy_BBhpt,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp
CCfnw,,-2.49,-37.05,35.94,-11.80,54.22,-70.53,17.73,41.89,-63.11
,  DDkrs,91.34,-46.79,30.69,-21.55,44.84,-90.17,5.89,64.63,-75.54
,  DDgv,-4.02,-35.42,37.46,-11.87,55.00,-84.42,18.53,72.68,-62.43
,  DDqz,94.61,-40.70,29.22,-15.47,52.63,-93.11,10.12,-90.25,-69.40
,  DDknr,-99.90,-32.87,40.92,-6.75,57.22,-4.72,25.38,80.61,-57.10
,  DDlmr,-94.50,-29.46,41.41,-3.38,61.39,-80.21,28.74,81.79,-51.07
CChpx,,0.60,-35.55,38.04,-10.91,53.33,-84.08,18.23,75.98,-61.75
,  DDcwz,-92.97,-28.45,44.51,-1.34,57.11,-77.62,29.04,86.08,-50.91
,  DDcmp,98.16,-37.90,35.29,-13.58,52.05,-86.75,10.17,69.18,-68.98
,  DDmx,-95.32,-31.03,41.31,-5.61,57.06,-81.57,24.41,80.90,-55.16
,  DDlmr,92.55,-45.43,31.75,-20.08,50.11,-90.73,5.42,65.18,-72.82
,  DDdlz,0.57,-34.92,37.32,-13.93,50.30,-83.71,22.10,78.55,-60.90
CCbt,,27.66,-38.51,27.30,-13.39,53.50,-87.05,16.86,70.86,-66.32
,  DDkrs,-94.02,-30.83,42.01,-4.27,60.94,-79.87,27.65,83.74,-55.38
,  DDcwz,92.11,-41.18,31.26,-16.65,51.60,-88.19,10.90,57.09,-72.43
,  DDmpy,57.45,-34.90,39.81,-7.52,57.43,-82.49,24.78,80.64,-59.84
,  DDbmz,-3.92,-37.31,-6.64,-12.23,53.45,-91.86,18.95,71.08,-67.17
,  DDmx,86.67,-48.31,30.05,-26.29,44.09,-92.84,2.03,61.74,-76.78
Average,,8.59,-37.03,33.76,-12.03,53.68,-80.55,17.61,62.91,-63.73
,  ,8.59,-37.03,33.76,-12.03,53.68,-80.55,17.61,62.91,-63.73
