CC,DD,AAmz_BBgqt,AAmz_BBcjx,AApqr_BBbkv,AApqr_BBbpv,AApqr_BBnqx
CCbt,,-17.36,-23.51,-43.31,-20.20,20.03
,  DDcwz,44.85,-49.55,-66.02,-26.43,12.99
,  DDbmz,-79.69,-43.22,-63.44,-14.58,28.48
,  DDmx,-17.23,22.25,-0.47,-19.59,18.61
CChpx,,-35.28,20.29,-0.66,44.01,25.54
,  DDcmp,48.36,78.97,62.02,97.00,24.82
,  DDdlz,-73.86,-40.51,-67.66,-11.65,28.74
,  DDlmr,-80.33,22.39,3.67,46.68,23.05
CCfnw,,-58.12,-0.96,1.19,-18.88,19.02
,  DDkrs,-16.43,87.61,2.17,-18.72,4.86
,  DDgv,-74.53,-42.39,66.77,-12.62,29.50
,  DDqz,-83.40,-48.09,-65.37,-25.31,22.71
Average,,-36.92,-1.39,-14.26,1.64,21.53
,  ,-36.92,-1.39,-14.26,1.64,21.53
