CC,DD,AApqr_BBcjx,AApqr_BBnqx,AAmz_BBgqt,AAmz_BBbpv,AAcy_BBhpt,AAcy_BBbkv,Average
CCbt,,-45.61,15.95,42.10,-55.02,-28.46,78.98,1.32
,  DDcwz,-97.98,6.00,37.90,-57.25,-37.38,74.48,-12.37
,  DDbmz,-82.24,12.38,42.19,-54.99,-29.50,73.30,-6.48
,  DDmpy,-75.50,27.12,47.67,-51.93,-25.10,81.23,0.58
,  DDlmr,-68.97,31.68,52.86,-47.67,-10.16,96.54,9.05
,  DDmx,96.62,2.56,29.88,-63.27,-40.18,69.33,15.82
CChpx,,-80.23,21.36,45.42,-52.51,-26.50,83.95,-1.42
,  DDdlz,-79.71,25.52,46.36,-52.69,-29.17,81.57,-1.35
,  DDlmr,-99.85,5.93,37.76,-58.36,-39.56,73.17,-13.48
,  DDkrs,-69.93,30.81,50.64,-48.08,-23.28,90.38,5.09
,  DDqz,-65.30,33.70,54.82,-44.59,-4.00,97.84,12.08
,  DDcmp,-86.38,10.82,37.51,-58.85,-36.48,76.80,-9.43
CCfnw,,-43.30,19.11,44.51,-54.60,-27.83,80.99,3.15
,  DDcwz,-66.94,32.28,54.99,-45.30,-9.72,97.91,10.54
,  DDkrs,96.47,4.09,35.50,-59.97,-40.35,70.71,17.74
,  DDqz,-93.99,10.95,39.33,-58.87,-36.08,74.10,-10.76
,  DDmx,-71.47,29.35,48.49,-49.39,-23.39,84.82,3.07
,  DDgv,-80.55,18.90,44.23,-59.46,-29.60,77.40,-4.85
