CC,DD,AAmz_BBbpv,AAmz_BBgqt,AAcy_BBhpt,AAcy_BBbkv,AApqr_BBbgp,AApqr_BBcjx,AApqr_BBnqx,Average
CCbt,,-88.85,35.70,-62.52,59.37,-20.55,42.34,11.36,-3.31
,  DDcwz,-92.78,33.22,-60.84,57.48,-23.32,90.87,5.23,1.41
,  DDmpy,-81.50,42.35,-52.28,65.29,-10.14,-98.60,19.71,-16.45
,  DDmx,-96.08,27.30,-78.32,52.85,-32.45,80.91,1.57,-6.32
,  DDbmz,-85.03,39.92,-58.66,61.86,-16.31,96.20,18.93,8.13
CChpx,,-87.53,40.23,-55.46,62.74,-15.14,21.32,15.34,-2.64
,  DDcmp,-93.74,37.16,-58.14,59.59,-17.51,94.56,11.71,4.80
,  DDmx,-79.40,48.36,-41.97,71.57,-5.99,-97.97,27.42,-11.14
,  DDlmr,-93.41,33.79,-67.54,54.40,-25.96,89.06,2.99,-0.95
,  DDdlz,-83.57,41.63,-54.19,65.40,-11.12,-0.37,19.25,-3.28
CCfnw,,-88.29,26.52,-57.42,60.36,-17.81,43.66,11.49,-3.07
,  DDgv,-83.46,-5.03,-59.09,63.19,-14.00,97.43,19.33,2.62
,  DDkrs,-94.52,30.74,-68.25,54.99,-30.23,83.28,2.07,-3.13
,  DDknr,-83.68,46.37,-43.33,65.46,-6.25,-97.89,19.42,-14.27
,  DDqz,-91.51,34.01,-59.02,57.79,-20.75,91.82,5.13,2.50
Average,,-88.22,34.15,-58.47,60.82,-17.84,35.77,12.73,-3.01
,  ,-88.22,34.15,-58.47,60.82,-17.84,35.77,12.73,-3.01
