DD,EE,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbt,AAgqt_BBhpt_CCkrs,AAgqt_BBfnw_CCkrs
DDmx,,-39.28,-13.97,15.67,-21.03,-7.38,-56.98
,  EEbhk,-67.95,-11.05,20.19,78.75,-37.18,-86.95
,  EEqz,-75.18,-19.02,11.66,-53.01,83.16,37.30
,  EEmz,-78.69,-22.50,2.60,-61.05,-45.46,-95.68
,  EEbkv,64.69,-3.31,28.23,-48.81,-30.04,-82.61
DDcy,,-38.34,-12.35,17.43,11.76,-3.90,-87.96
,  EEmpy,-66.10,-7.41,23.09,79.09,-34.07,-84.66
,  EEcrv,-74.99,-18.03,13.10,-53.50,91.67,-90.79
,  EEbkv,-77.49,-21.23,2.56,-57.83,-43.44,-94.60
,  EEkqy,65.23,-2.73,30.99,79.28,-29.76,-81.80
DDcjx,,-69.88,-11.37,-11.88,13.40,-2.56,9.79
,  EEqz,-63.22,-1.55,-97.92,-46.16,-27.33,47.55
,  EEmz,-65.48,-6.63,24.53,80.34,-32.51,45.70
,  EEdhv,-73.89,-14.86,16.11,-52.58,92.99,-87.58
,  EEkqy,-76.93,-22.45,9.78,72.00,-43.40,33.49
