DD,EE,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBhpt_CCkrs,AAgqt_BBnry_CCbt,AAgqt_BBfnw_CCkrs
DDcjx,,-61.89,-11.84,-16.69,-45.52,-50.84
,  EEbkv,-54.18,-95.68,-8.30,-36.82,56.54
,  EEdhv,-62.13,15.34,-18.17,-49.18,-91.80
,  EEkqy,-66.93,12.97,-28.25,-51.53,-90.09
,  EEhq,-64.32,20.01,-12.03,-44.57,-78.00
DDcy,,1.33,17.50,12.23,49.36,45.41
,  EEbkv,62.35,11.87,99.11,75.02,37.35
,  EEmpy,-62.14,15.77,-17.34,82.91,50.72
,  EEmz,-56.11,30.30,-10.13,-38.93,51.93
,  EEcrv,61.22,12.07,-22.74,78.42,41.63
DDmx,,1.10,16.13,10.16,16.10,-51.74
,  EEbhk,-62.88,16.66,-18.00,-47.69,49.39
,  EEqz,64.81,13.43,-27.35,77.42,-88.72
,  EEksy,-58.94,26.56,-11.48,-39.64,-76.32
,  EEmz,61.41,7.87,97.48,74.32,-91.30
