DD,EE,AAgqt_BBnry_CCkrs,AAgqt_BBfnw_CCkrs,AApqr_BBlmr_CCbt,AApqr_BBnqx_CCbt,AApqr_BBhpt_CCbt
DDmx,,-51.20,-25.43,26.91,14.94,3.99
,  EEqz,-55.76,36.73,-72.92,15.08,-32.61
,  EEbkv,-42.58,-83.19,65.46,22.40,-15.35
,  EEbhk,-45.94,43.49,60.45,18.27,-29.94
,  EEmz,-60.53,-98.76,54.63,3.99,93.85
DDcy,,15.86,-55.62,-4.07,15.65,-25.11
,  EEmpy,85.31,43.78,63.73,18.62,-27.91
,  EEcrv,-52.20,-90.66,56.10,16.20,-31.72
,  EEkqy,-38.99,-80.65,-62.62,22.82,-6.03
,  EEbkv,69.32,-94.97,-73.50,4.97,-34.77
DDcjx,,16.64,-21.29,62.28,19.04,10.14
,  EEkqy,-57.55,-93.25,56.98,10.90,95.14
,  EEqz,90.58,-77.89,68.59,26.75,-3.10
,  EEdhv,76.09,40.88,59.15,17.01,-35.20
,  EEmz,-42.57,45.10,64.42,21.50,-16.26
