DD,EE,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCcqx,AAgqt_BBdfv_CCbpv,AAgqt_BBhpt_CCbt,AAgqt_BBfnw_CCkrs,AApqr_BBnry_CCbpv,AApqr_BBnqx_CCbt,AApqr_BBgv_CCcqx
Average,,21.85,-56.69,-10.37,-17.48,-13.39,-1.39,25.73,16.62
,  ,21.85,-56.69,-10.37,-17.48,-13.39,-1.39,25.73,16.62
DDcjx,,80.46,-84.40,-32.66,-15.88,30.90,14.92,11.64,1.93
,  EEbkv,83.86,-79.03,-52.83,-55.41,35.73,63.66,17.02,94.82
,  EEkqy,76.91,-90.63,-29.96,-62.64,25.09,-75.23,6.04,-42.81
,  EEdhv,80.62,-83.55,-15.19,70.40,31.87,56.34,11.85,-46.22
DDcy,,-7.22,1.27,23.52,-16.76,-55.74,-30.29,32.99,2.89
,  EEbkv,-53.78,38.63,98.28,-63.00,25.01,52.12,6.38,-44.56
,  EEcrv,79.54,-84.59,-17.26,-60.66,-98.66,-73.68,78.69,-40.67
,  EEmz,-47.42,49.76,-10.45,73.39,-93.56,-69.32,13.91,93.90
DDmx,,-7.68,-86.94,-21.98,-19.81,-15.32,11.19,32.56,45.05
,  EEqz,78.49,-86.83,-20.12,-65.08,28.31,52.21,7.55,86.60
,  EEbhk,-47.91,-80.64,-10.65,-58.72,-94.27,58.97,13.09,-36.03
,  EEmz,-53.63,-93.35,-35.16,64.37,20.01,-77.60,77.05,84.58
