DD,EE,AAhpx_BBlsx_CCcqx,AAhpx_BBlmr_CCcqx,AAgqt_BBhpt_CCkrs,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBgv_CCbt,AApqr_BBnry_CCbt
Average,,-44.41,85.81,-74.08,49.32,19.74,-18.71,-30.49
,  ,-44.41,85.81,-74.08,49.32,19.74,-18.71,-30.49
DDcjx,,-40.87,86.91,-71.66,55.94,21.09,-17.48,-61.89
,  EEdhv,-43.26,86.15,-75.64,51.02,20.78,-21.19,-99.76
,  EEkqy,-41.89,85.76,-69.64,55.45,19.48,-17.35,6.25
,  EEhq,-37.47,88.81,-69.70,61.34,23.01,-13.91,-92.16
DDmx,,-46.77,84.24,-75.27,47.69,18.66,-20.70,1.43
,  EEqz,-50.58,83.42,-78.36,43.40,17.30,-26.89,98.55
,  EEmz,-47.60,83.59,-73.16,47.69,16.73,-19.24,2.76
,  EEbhk,-42.11,85.71,-74.28,51.97,21.96,-15.98,-97.02
DDcy,,-45.59,86.28,-75.31,44.34,19.48,-17.93,-31.02
,  EEmpy,-40.65,88.19,-75.87,53.56,19.74,-13.21,-97.20
,  EEcrv,-50.41,85.87,-77.78,48.50,19.82,-22.89,0.85
,  EEbkv,-45.71,84.78,-72.28,30.95,18.87,-17.70,3.28
