DD,EE,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx,AApqr_BBgv_CCbt,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbt,AAgqt_BBhpt_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBdfv_CCkrs,Average
DDcjx,,62.75,-69.28,-41.55,19.46,83.14,-37.43,38.95,-15.72,5.04
,  EEdhv,56.56,-75.17,-45.11,13.95,76.48,-8.98,35.24,-23.43,3.69
,  EEkqy,50.47,-79.94,-51.20,7.67,76.85,95.05,30.98,-29.93,12.49
,  EEhq,64.50,-66.20,-41.83,20.85,82.21,-97.04,38.28,-14.75,-1.75
,  EEmz,69.52,-67.82,-35.81,26.07,87.49,-93.17,41.52,-8.99,2.35
,  EEqz,72.70,-57.26,-33.82,28.75,92.68,-83.01,48.71,-1.52,8.40
DDmx,,60.80,-72.55,-44.65,16.76,80.75,15.42,35.46,-18.96,9.13
,  EEbhk,63.67,-69.24,-45.87,20.92,80.30,73.13,36.64,-18.38,17.65
,  EEbkv,68.96,-65.50,-34.99,27.39,89.55,-92.54,41.81,-3.92,3.84
,  EEmz,50.05,-83.28,-56.96,6.34,72.85,93.77,30.02,-33.34,9.93
,  EEksy,67.48,-66.34,-37.06,23.02,84.79,-95.19,35.95,-12.89,-0.03
,  EEqz,53.84,-78.39,-48.36,6.12,76.25,97.93,32.89,-26.28,14.25
DDcy,,62.15,-70.10,-42.85,17.30,81.96,-18.32,36.46,-17.49,6.14
,  EEcrv,55.82,-75.55,-46.26,8.81,75.39,99.71,29.99,-25.13,15.35
,  EEkqy,72.28,-58.95,-35.18,27.77,91.65,-91.80,42.38,-2.84,5.66
,  EEbkv,50.01,-81.94,-52.40,7.63,75.70,94.99,31.90,-30.78,11.89
,  EEjvz,68.61,-66.59,-36.72,21.72,85.38,-96.71,40.80,-10.41,0.76
,  EEmpy,64.03,-67.45,-43.71,20.59,81.69,-97.80,37.24,-18.31,-2.96
Average,,61.90,-70.64,-43.02,17.84,81.95,-13.44,36.96,-17.39,6.77
,  ,61.90,-70.64,-43.02,17.84,81.95,-13.44,36.96,-17.39,6.77
