DD,EE,AAgqt_BBnry_CCkrs,AAgqt_BBfnw_CCkrs,AApqr_BBlmr_CCbt,AApqr_BBhpt_CCbt,AApqr_BBnqx_CCbt
DDcy,EEbkv,-9.97,45.40,62.13,-32.18,6.75
,EEmpy,-39.07,60.23,73.20,-23.65,28.70
,EEcrv,85.79,50.19,71.82,99.90,20.39
,EEkqy,-36.46,63.50,-54.47,-14.65,36.24
DDmx,EEbkv,91.16,62.84,76.88,-15.46,35.40
,EEqz,84.18,-78.18,-58.24,99.23,8.84
,EEbhk,89.86,56.39,-56.11,-26.29,26.70
,EEmz,80.08,-85.41,-63.73,-39.82,1.36
DDcjx,EEqz,94.71,63.47,-50.34,-9.31,-88.46
,EEdhv,-44.54,52.76,72.72,-27.22,25.36
,EEmz,-37.21,61.99,-53.32,-22.68,-94.35
,EEkqy,-44.81,49.86,64.39,91.53,6.96
