DD,EE,AApqr_BBlmr_CCbt,AApqr_BBnqx_CCbt,AApqr_BBhpt_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCkrs
DDcjx,,18.93,13.42,27.22,-47.04,1.38
,  EEdhv,59.70,11.72,-13.39,-91.33,-41.37
,  EEmz,74.03,23.68,-3.66,-83.84,93.92
,  EEkqy,-76.93,4.85,98.72,34.05,-48.40
DDmx,,54.03,7.55,-22.61,-50.93,38.42
,  EEmz,46.10,1.93,-33.71,26.85,74.86
,  EEbhk,60.19,15.55,-12.55,-85.41,-41.79
,  EEqz,55.79,5.18,-21.57,-94.24,82.19
DDcy,,13.91,9.59,23.84,-48.75,0.11
,  EEcrv,57.50,5.81,-17.81,37.87,-43.59
,  EEbkv,-83.02,2.00,96.15,-99.45,-48.76
,  EEmpy,67.25,20.96,-6.81,-84.67,92.68
