DD,EE,AApqr_BBnry_CCbpv,AApqr_BBgv_CCcqx,AApqr_BBnqx_CCbt,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCcqx,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt
DDmx,,-86.86,-22.44,16.99,-44.31,85.47,47.45,-63.88
,  EEbhk,-85.74,-15.29,19.37,-45.69,90.45,52.21,-60.04
,  EEqz,-89.81,-31.52,16.40,-45.11,81.80,41.05,-67.03
,  EEksy,-76.61,-7.68,27.50,-38.57,97.07,62.28,-57.22
,  EEmz,-95.28,-35.28,4.70,-47.89,72.57,34.27,-71.22
DDcy,,-83.60,-21.12,18.76,-44.12,88.60,49.32,-61.91
,  EEmpy,-80.26,-12.77,23.36,-40.80,90.60,55.20,-59.42
,  EEcrv,-88.75,-31.02,18.79,-43.31,87.07,43.28,-63.47
,  EEbkv,-92.98,-33.94,5.50,-46.66,79.33,34.06,-68.47
,  EEmz,-72.40,-6.77,27.39,-45.73,97.39,64.72,-56.27
DDcjx,,-82.70,-16.41,23.53,-40.97,64.23,55.77,-61.55
,  EEdhv,-88.13,-19.81,19.81,-42.15,87.52,50.96,-62.84
,  EEbkv,-71.46,-1.78,33.38,-36.70,-7.16,72.62,-56.53
,  EEkqy,-90.61,-32.98,13.41,-45.39,80.87,39.90,-68.05
,  EEhq,-80.60,-11.08,27.51,-39.65,95.70,59.59,-58.77
Average,,-84.39,-19.99,19.76,-43.14,79.43,50.84,-62.44
,  ,-84.39,-19.99,19.76,-43.14,79.43,50.84,-62.44
