DD,EE,AAhpx_BBlmr_CCbt,AAhpx_BBlsx_CCkrs,AApqr_BBnry_CCkrs,AApqr_BBnqx_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt
Average,,-26.97,-4.21,-16.42,5.73,-38.84,21.57
,  ,-26.97,-4.21,-16.42,5.73,-38.84,21.57
DDcjx,,-14.75,-0.64,26.10,16.02,-26.49,44.66
,  EEkqy,-83.55,99.13,57.48,-0.98,-96.06,-59.94
,  EEmz,51.12,-14.82,-69.79,21.22,39.62,83.87
,  EEdhv,-80.46,-81.74,58.94,14.38,-92.08,63.63
,  EEqz,53.87,-5.14,57.78,29.44,42.57,91.09
DDcy,,-15.79,-21.55,-4.14,12.97,-62.47,10.09
,  EEbkv,-84.01,-37.87,56.29,-0.78,31.56,67.56
,  EEkqy,-75.89,-7.27,-63.10,24.37,-93.76,87.73
,  EEcrv,47.87,-24.11,57.01,8.85,-93.17,-63.90
,  EEmpy,48.85,-16.96,-66.76,19.45,-94.52,-51.04
DDmx,,-50.34,9.56,-71.22,-11.81,-27.55,9.97
,  EEbkv,-81.78,-9.81,-64.91,-72.58,-88.90,-45.57
,  EEmz,43.76,92.48,-78.32,0.42,34.91,-61.88
,  EEqz,-83.72,-26.83,-70.48,7.65,-94.19,70.34
,  EEbhk,-79.64,-17.61,-71.15,17.27,37.99,77.00
