DD,EE,AApqr_BBnry_CCbpv,AApqr_BBnqx_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCkrs,Average
DDcy,,-10.90,-31.85,-43.88,50.38,18.06,-21.16,-6.56
,  EEbkv,74.53,-33.41,-87.03,-34.66,-69.34,-15.87,-27.63
,  EEqz,-55.12,-96.99,-88.28,90.21,57.56,-23.86,-19.41
,  EEdhv,-52.10,34.86,43.68,95.59,65.96,-23.74,27.38
DDmx,,29.73,-34.24,-65.91,46.66,17.59,-22.67,-4.81
,  EEmz,72.81,-36.70,-21.62,-38.61,-70.09,-21.21,-19.24
,  EEcrv,72.78,-96.40,-86.17,91.49,64.95,-22.27,4.06
,  EEkqy,-56.39,30.39,-89.94,87.09,57.90,-24.54,0.75
Average,,9.42,-33.04,-54.89,48.52,17.82,-21.91,-5.68
,  ,9.42,-33.04,-54.89,48.52,17.82,-21.91,-5.68
