DD,EE,AAgqt_BBnry_CCbt,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCcqx,AApqr_BBhpt_CCkrs
DDcjx,,-26.09,27.06,-40.31,-17.78,-1.19
,  EEdhv,-49.04,45.66,17.20,-71.22,-27.01
,  EEhq,-43.96,51.90,-94.60,54.16,-18.95
,  EEkqy,14.73,-16.38,-43.52,-36.29,42.39
DDcy,,-6.07,-82.99,21.53,36.52,-6.43
,  EEbkv,77.58,-83.49,18.02,-3.79,38.21
,  EEcrv,-50.96,-85.78,17.69,59.94,-28.96
,  EEmpy,-44.81,-79.70,28.88,53.41,-28.54
DDmx,,13.27,-19.25,-5.32,-48.83,-29.36
,  EEmz,10.87,-19.29,-46.22,-4.95,-26.70
,  EEbhk,-45.99,48.30,20.49,-68.59,-27.58
,  EEqz,74.92,-86.78,9.76,-72.95,-33.79
