DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,AApqr_BBgv_CCcqx,AApqr_BBnry_CCbpv,AApqr_BBnqx_CCbt,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCkrs
DDcjx,,34.00,-72.13,-10.20,0.27,14.20,66.20,-38.27
,  EEhq,33.35,-74.90,-11.83,0.58,14.87,66.28,-40.54
,  EEkqy,36.34,-70.70,-10.12,1.00,12.36,67.39,-38.66
,  EEdhv,29.62,-75.45,-14.84,96.52,11.64,59.61,-41.99
,  EEdfk,36.69,-67.47,-4.02,-97.00,17.95,71.50,-31.88
DDmx,,30.92,-75.90,-13.82,10.28,11.67,60.81,-41.09
,  EEbhk,31.75,-74.22,-13.83,98.17,12.41,60.10,-40.10
,  EEmz,29.57,-76.72,-14.77,-50.84,10.45,58.98,-41.18
,  EEqz,27.49,-78.07,-16.93,93.10,8.08,54.55,-46.50
,  EEksy,34.87,-74.59,-9.76,-99.31,15.73,69.62,-36.59
DDcy,,31.81,-73.98,-11.58,23.39,11.18,64.11,-38.89
,  EEjvz,32.60,-71.99,-7.38,-98.79,10.67,69.82,-32.67
,  EEmpy,32.85,-74.82,-12.73,99.89,12.11,64.72,-39.54
,  EEcrv,28.29,-77.26,-15.44,93.34,10.75,55.91,-44.09
,  EEbkv,33.49,-71.84,-10.76,-0.88,11.20,65.98,-39.26
