DD,EE,AAgqt_BBhpt_CCbt,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbpv,AApqr_BBgv_CCcqx,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCcqx
DDcjx,,-70.06,53.01,22.97,-49.70,-13.00,-38.41,81.29
,  EEmz,-69.46,58.50,29.08,-83.30,-8.60,-31.48,87.35
,  EEqz,-59.44,64.92,38.17,-83.10,-1.93,-28.64,94.97
,  EEdhv,-74.22,48.10,19.04,-92.40,-20.25,-43.69,74.16
,  EEkqy,-77.70,41.55,2.76,97.43,-21.03,-50.99,67.08
,  EEhq,-69.47,51.98,25.79,-87.13,-13.21,-37.27,82.91
DDcy,,-72.42,51.01,19.58,-50.70,-16.00,-41.16,79.87
,  EEcrv,-75.47,45.42,12.15,-95.50,-20.36,-45.63,72.00
,  EEjvz,-67.90,54.45,28.55,-84.65,-9.75,-34.63,85.82
,  EEbkv,-84.91,40.26,2.74,97.45,-29.60,-56.63,67.84
,  EEmpy,-69.13,50.29,25.54,-88.94,-14.28,-39.05,80.18
,  EEkqy,-64.68,64.65,28.92,-81.87,-5.99,-29.87,93.53
DDmx,,-74.29,49.54,15.77,-52.17,-16.93,-36.32,78.31
,  EEmz,-79.85,39.95,-0.80,93.86,-28.91,-57.73,65.72
,  EEqz,-76.67,45.01,2.80,-97.07,-20.55,-46.70,70.59
,  EEbhk,-82.73,49.09,19.11,-89.38,-17.25,-8.25,78.17
,  EEbkv,-64.53,61.75,30.49,-83.12,-7.09,-31.39,92.43
,  EEksy,-67.66,51.92,27.27,-85.15,-10.86,-37.53,84.66
