DD,EE,AApqr_BBgv_CCbt,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbt,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx,AAgqt_BBhpt_CCkrs,AAgqt_BBfnw_CCkrs
DDmx,,-22.30,4.33,59.10,-43.26,86.30,-14.86,24.41
,  EEqz,-21.84,3.40,60.43,-88.72,85.32,-58.10,27.20
,  EEbhk,-9.45,10.28,64.42,-79.17,90.74,-53.13,31.88
,  EEmz,-35.61,-0.68,52.45,38.12,82.83,66.64,14.15
DDcy,,24.90,3.78,19.00,-41.52,0.64,-14.90,27.53
,  EEcrv,-18.47,-0.78,62.44,42.96,-43.41,-63.98,30.70
,  EEbkv,97.82,1.72,56.90,-89.91,-46.57,67.75,19.85
,  EEmz,-4.66,10.40,-62.35,-77.60,91.89,-48.47,32.03
DDcjx,,-12.73,6.84,20.52,-39.86,43.99,-11.18,28.68
,  EEdhv,-13.28,9.11,64.51,44.77,84.32,-55.70,31.85
,  EEbkv,-1.93,11.91,-61.68,-76.26,-37.18,-48.19,31.65
,  EEkqy,-22.99,-0.50,58.72,-88.08,84.83,70.35,22.53
