DD,EE,AAhpx_BBlsx_CCcqx,AAhpx_BBlmr_CCcqx,AApqr_BBgv_CCbt,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCkrs
DDmx,,-50.38,54.62,-25.15,8.15,83.21,33.13,-84.89
,  EEqz,-50.80,52.20,-29.67,5.47,81.80,28.90,-86.53
,  EEbhk,-46.75,55.67,-23.88,9.55,84.65,38.10,-83.10
,  EEmz,-53.58,56.00,-21.91,9.43,83.18,32.38,-85.03
DDcy,,-47.46,55.63,-23.51,10.96,53.36,34.66,-79.91
,  EEmpy,-45.44,53.47,-21.85,14.88,-8.31,40.65,-76.66
,  EEcrv,-49.17,54.33,-28.69,6.60,81.03,28.43,-84.59
,  EEbkv,-47.78,59.09,-20.00,11.41,87.36,34.89,-78.47
DDcjx,,-45.48,58.77,-20.98,12.89,54.34,36.02,-78.01
,  EEdhv,-47.96,54.78,-31.27,9.86,83.77,31.15,-84.82
,  EEkqy,-43.88,62.84,-17.00,14.81,-9.44,35.76,-77.11
,  EEhq,-44.61,58.70,-14.66,14.00,88.68,41.16,-72.10
Average,,-47.77,56.34,-23.21,10.67,63.64,34.60,-80.93
,  ,-47.77,56.34,-23.21,10.67,63.64,34.60,-80.93
