DD,EE,AApqr_BBnqx_CCbt,AApqr_BBgv_CCbt,AApqr_BBnry_CCkrs,AAhpx_BBlmr_CCbt,AAhpx_BBlsx_CCkrs,AAgqt_BBhpt_CCbt,AAgqt_BBfnw_CCkrs
Average,,-23.01,-11.16,12.22,-19.18,-13.65,29.56,-27.47
,  ,-23.01,-11.16,12.22,-19.18,-13.65,29.56,-27.47
DDcy,,-21.68,-8.35,12.09,2.28,8.84,-11.03,-48.49
,  EEdhv,-98.43,-5.73,61.43,-80.81,-31.08,-47.70,-88.91
,  EEbkv,10.11,-11.95,-76.14,39.32,-40.10,68.55,-92.67
,  EEqz,23.28,-7.36,50.99,48.32,97.70,-53.93,36.12
DDmx,,-24.34,-13.96,12.35,-40.64,-36.14,70.15,-6.45
,  EEmz,9.71,-24.69,51.04,40.72,-46.81,62.60,33.03
,  EEcrv,-98.94,-6.89,61.70,-80.37,-29.75,77.60,-89.68
,  EEkqy,16.21,-10.31,-75.70,-82.28,-31.87,70.24,37.30
