DD,EE,AAgqt_BBhpt_CCkrs,AAgqt_BBdfv_CCkrs,AAgqt_BBfnw_CCkrs,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx,AApqr_BBnry_CCbt,AApqr_BBnqx_CCbt,AApqr_BBgv_CCbt,Average
DDcy,,-74.81,-18.25,44.80,79.65,-60.34,-61.43,12.58,-38.25,-14.51
,  EEmpy,-71.39,-15.09,52.95,87.44,-56.83,-91.60,13.96,-35.75,-14.54
,  EEcrv,-75.47,-21.91,38.50,72.15,-66.30,-97.26,10.32,-38.76,-22.34
,  EEbkv,-77.56,-17.73,42.95,79.37,-57.88,4.57,13.45,-40.25,-6.64
DDmx,,-77.37,-19.69,38.20,76.08,-61.37,-62.99,9.93,-39.40,-17.08
,  EEbhk,-72.97,-16.13,42.14,80.56,-57.19,-93.70,12.92,-36.56,-17.62
,  EEmz,-77.64,-20.23,41.60,77.06,-58.91,3.95,8.34,-41.13,-8.37
,  EEqz,-81.49,-22.70,30.84,70.61,-68.02,-99.23,8.52,-40.50,-25.25
DDcjx,,-73.20,-16.05,47.40,80.85,-57.30,-77.29,13.94,-36.77,-14.80
,  EEdhv,-73.18,-19.40,42.52,73.45,-59.55,-95.29,12.23,-37.38,-19.58
,  EEkqy,-75.87,-14.66,43.63,80.15,-56.45,-47.29,15.28,-38.68,-11.74
,  EEhq,-70.55,-14.08,56.05,88.94,-55.91,-89.28,14.30,-34.25,-13.10
