DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCbt,Average
DDcjx,,-77.95,2.99,-15.01,41.51,-12.11
,  EEdhv,-80.80,-20.95,26.85,-46.24,-30.29
,  EEhq,-76.17,-16.80,-95.27,87.44,-25.20
,  EEkqy,-76.90,46.73,23.40,83.34,19.15
DDmx,,-18.03,-25.11,-0.46,-29.12,-18.18
,  EEqz,42.86,-30.99,18.24,-53.68,-5.89
,  EEbhk,-79.38,-20.62,27.45,-46.89,-29.86
,  EEmz,-17.57,-23.71,-47.06,13.22,-18.78
DDcy,,28.11,-24.10,3.74,-25.80,-4.51
,  EEbkv,-14.73,-23.78,-44.56,17.08,-16.50
,  EEmpy,51.80,-19.45,33.51,-42.61,5.81
,  EEcrv,47.26,-29.06,22.26,-51.87,-2.85
Average,,-22.62,-15.40,-3.91,-4.47,-11.60
,  ,-22.62,-15.40,-3.91,-4.47,-11.60
