DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,AAgqt_BBdfv_CCkrs,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCbt,AApqr_BBnqx_CCbt,AApqr_BBgv_CCbt,AApqr_BBnry_CCkrs,Average
DDmx,,-4.72,-62.47,44.55,21.60,8.18,8.58,-1.44,21.95,4.53
,  EEcrv,30.18,-60.50,-15.92,-34.02,38.86,12.66,-31.72,-73.58,-16.76
,  EEbhk,-93.29,-56.43,-2.86,89.21,-84.64,17.04,94.41,57.51,2.62
,  EEkqy,23.34,-65.30,99.60,-44.54,40.20,2.81,-33.36,53.59,9.54
,  EEmz,20.88,-67.63,97.40,75.76,38.29,1.82,-35.08,50.29,22.72
DDcy,,29.10,-27.78,-14.09,52.80,-24.20,11.44,-1.56,22.87,6.07
,  EEbkv,21.09,-66.20,-26.45,75.66,38.75,2.96,-35.69,51.24,7.67
,  EEmpy,36.60,73.94,-1.15,90.24,-85.36,19.53,97.17,59.00,36.25
,  EEdhv,32.58,-57.14,-6.44,88.60,39.68,16.04,-35.14,-72.76,0.68
,  EEqz,26.13,-61.73,-22.33,-43.29,-89.89,7.23,-32.57,53.99,-20.31
Average,,12.19,-45.12,15.23,37.20,-8.01,10.01,-1.50,22.41,5.30
,  ,12.19,-45.12,15.23,37.20,-8.01,10.01,-1.50,22.41,5.30
