DD,EE,AApqr_BBlmr_CCbt,AApqr_BBnqx_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCkrs
DDcy,EEbkv,61.45,-0.43,-94.71,94.01
,EEmpy,-55.19,9.23,47.20,-23.37
,EEjvz,-48.00,15.84,-77.29,-14.82
,EEkqy,85.49,22.22,57.55,-3.20
,EEcrv,-64.21,7.59,38.53,-34.83
DDcjx,EEqz,89.22,22.55,-1.46,-1.61
,EEhq,73.38,9.52,49.03,-22.41
,EEdhv,-63.55,8.16,39.81,98.09
,EEmz,-47.47,17.79,-79.67,-7.91
,EEkqy,-66.55,2.26,36.24,94.92
DDmx,EEbkv,-46.28,19.03,-77.02,-4.61
,EEqz,59.12,3.74,37.67,-35.77
,EEksy,-50.03,12.06,49.10,-17.00
,EEmz,60.55,0.63,33.25,93.72
,EEbhk,65.02,9.02,44.22,-25.79
