DD,EE,AAgqt_BBlsx_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCkrs,AApqr_BBhpt_CCbt,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCbt
DDcy,EEjvz,-5.68,36.91,-79.61,-51.30,14.46,72.36
,EEcrv,-27.20,27.21,-94.67,-64.04,7.47,54.34
,EEmpy,-24.31,30.21,-86.86,-54.10,12.58,54.51
,EEbkv,-19.68,31.94,11.53,-57.83,10.15,68.89
DDmx,EEksy,-8.87,34.26,-81.79,-52.03,11.83,68.54
,EEmz,-22.45,28.10,7.94,-57.67,9.50,67.36
,EEbhk,-24.12,29.67,-89.84,-55.90,11.20,57.36
,EEqz,-30.40,26.48,-96.38,-64.37,5.72,54.29
DDcjx,EEkqy,-18.84,31.04,13.88,-57.18,9.59,70.62
,EEdfk,-4.99,38.45,-77.01,-47.09,12.47,85.36
,EEhq,-19.99,30.90,-84.77,-53.13,10.49,58.18
,EEdhv,-27.06,27.83,-89.34,-62.12,10.43,56.38
