DD,EE,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCcqx,AApqr_BBhpt_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBlsx_CCcqx,AAgqt_BBnry_CCbt
DDcjx,EEbkv,23.59,59.60,89.09,43.10,-8.32,78.85
,EEhq,20.81,55.70,87.56,42.48,-13.82,75.53
,EEdhv,12.16,-77.62,-45.60,-90.81,-17.04,71.83
,EEkqy,4.05,48.74,-48.26,31.76,95.23,65.56
DDmx,EEbhk,16.09,52.82,85.95,39.75,-16.50,-56.97
,EEqz,-50.63,49.18,82.10,-95.06,-29.20,66.41
,EEmz,2.35,-82.02,78.34,27.77,91.08,-69.87
,EEksy,21.84,57.51,-44.78,43.52,-10.56,-52.82
DDcy,EEbkv,3.28,47.04,-48.90,30.24,93.27,63.25
,EEmz,22.80,-70.85,89.14,43.65,-9.57,-51.52
,EEcrv,10.04,-83.32,-45.09,-91.11,-21.15,68.39
,EEmpy,18.35,-74.96,-42.81,37.72,-17.25,-55.04
