CC,DD,AApqr_BBbpv,AApqr_BBnqx,AApqr_BBbkv,AAmz_BBcjx,AAmz_BBgqt
CCfnw,DDgv,-15.50,26.85,-60.63,-9.15,-84.39
,DDknr,-8.90,32.84,-61.42,93.02,-75.52
,DDkrs,-26.96,5.42,61.12,-50.53,35.19
,DDqz,-18.89,12.96,64.63,83.61,-87.38
CCbt,DDmx,-27.86,5.98,57.17,-51.44,-93.06
,DDcwz,-23.08,11.45,61.83,81.08,38.73
,DDbmz,-18.17,17.15,-61.83,-47.08,44.78
,DDmpy,-9.87,-98.41,69.51,93.08,-76.58
CChpx,DDmx,-2.12,33.69,-53.15,-33.57,54.71
,DDdlz,-14.28,27.37,68.24,-36.28,-77.52
,DDlmr,-24.69,7.09,-66.71,-47.75,-90.55
,DDcmp,-17.90,13.44,66.53,-45.52,-85.63
