CC,DD,AApqr_BBcjx,AApqr_BBbgp,AApqr_BBnqx,AAcy_BBhpt,AAcy_BBbkv,AAmz_BBgqt,AAmz_BBbpv
CCfnw,DDgv,-83.54,-15.37,14.48,-44.25,85.98,38.24,-61.25
,DDqz,-96.33,-25.91,8.22,-49.70,71.54,38.57,-66.59
,DDkrs,7.63,-18.02,14.25,-44.64,76.84,39.35,-67.27
CCbt,DDmx,8.07,-20.12,8.59,-45.48,74.80,35.47,-68.03
,DDbmz,-87.94,-16.57,12.92,-47.98,83.13,38.87,-62.66
,DDcwz,0.36,-23.93,8.85,-50.19,69.29,36.16,-69.97
CChpx,DDlmr,9.17,-18.34,15.44,-39.74,81.89,45.09,-65.59
,DDdlz,-82.88,-13.15,15.81,-38.37,86.61,42.61,-60.60
,DDcmp,-93.03,-21.59,10.30,-49.54,76.82,39.94,-63.21
Average,,-46.50,-19.22,12.10,-45.54,78.54,39.37,-65.02
