CC,DD,AApqr_BBnqx,AApqr_BBbpv,AApqr_BBbkv,AAmz_BBcjx,AAmz_BBgqt,Average
CChpx,DDcwz,-93.69,-2.13,60.60,-43.14,-76.28,-30.93
,DDmx,34.67,-19.07,62.95,82.29,-81.29,15.91
,DDcmp,27.65,-30.97,59.01,79.05,-85.31,9.89
,DDlmr,21.94,94.83,-72.12,74.37,-88.56,6.09
CCbt,DDcwz,25.30,-33.40,57.15,-54.94,34.32,5.69
,DDkrs,35.32,-9.13,-65.17,-9.35,47.53,-0.16
,DDmx,2.64,-42.98,-74.46,61.45,-91.33,-28.94
,DDbmz,28.19,-25.76,-69.00,-48.20,-86.04,-40.16
CCfnw,DDqz,26.45,97.32,-72.35,-51.59,42.04,8.37
,DDkrs,3.17,91.60,55.16,-59.59,-89.59,0.15
,DDgv,31.03,-25.68,61.03,81.64,-86.06,12.39
,DDlmr,-93.52,-3.38,-73.93,81.23,48.04,-8.31
