CC,DD,AAmz_BBgqt,AAmz_BBcjx,AApqr_BBnqx,AApqr_BBbpv,AApqr_BBbkv,Average
CCfnw,DDmx,56.80,-37.78,30.87,-5.25,-50.46,-1.16
,DDgv,49.22,89.64,25.89,-21.58,-54.34,17.77
,DDqz,38.42,-43.84,10.60,-26.97,66.70,8.98
,DDkrs,-95.34,80.92,-0.26,99.53,60.87,29.14
CChpx,DDdlz,51.17,-40.51,28.89,-21.86,-53.51,-7.16
,DDcmp,-86.50,-41.61,13.68,-26.15,-59.96,-40.11
,DDlmr,-99.40,82.67,8.85,-27.08,-64.97,-19.99
,DDkrs,-69.83,96.17,30.34,-1.59,-49.03,1.21
CCbt,DDcwz,37.58,-43.35,10.20,-26.47,-62.93,-16.99
,DDmx,-96.28,80.44,0.78,-29.38,60.01,3.11
,DDmpy,-74.59,-37.46,29.47,-7.99,73.73,-3.37
,DDbmz,-85.30,-40.28,19.41,-23.17,73.21,-11.23
