DD,EE,AAgqt_BBhpt_CCkrs,AAgqt_BBdfv_CCkrs,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBgv_CCbt,AApqr_BBnry_CCbt,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx
DDmx,EEqz,-97.63,-21.50,22.52,4.98,-40.65,81.75,48.41,-65.83
,EEmz,-90.51,-21.68,28.32,6.42,-37.85,86.03,51.25,-66.78
,EEbhk,-93.59,-21.82,26.97,10.41,-34.05,87.88,51.38,-61.58
,EEksy,-90.73,-16.35,30.79,13.30,-31.12,91.01,55.88,-59.56
DDcjx,EEdhv,-95.48,-20.66,23.06,6.59,-35.25,87.75,51.37,-62.40
,EEdfk,-82.17,-21.47,37.65,11.48,-29.03,97.46,60.52,-55.78
,EEhq,-91.18,-16.08,29.73,11.77,-32.72,90.96,52.88,-59.98
,EEkqy,-87.72,-18.00,29.86,11.41,-37.47,88.84,59.57,-57.53
DDcy,EEjvz,-85.90,-15.55,36.10,12.55,-30.33,94.31,58.33,-56.95
,EEmpy,-93.82,-18.96,27.44,11.52,-33.22,88.55,53.90,-60.49
,EEcrv,-95.89,-20.13,23.42,6.64,-36.91,83.72,49.79,-63.54
,EEbkv,-90.89,-18.10,27.38,9.72,-36.15,88.11,52.57,-64.49
