AAdk-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,640.06
AAdk,BBtw,CChv,DDtv,EEmn,770.82
AAdk,BBtw,CChv,DDnt,EEfh,135.28
AAdk,BBtw,CChv,DDtv,EElp,904.95
AAdk,BBtw,CChv,DDnt,EEfx,777.81
AAdk,BBtw,CChv,DDtv,EEdn,265.88
AAdk,BBst,CChv,DDnt,EEdn,650.94
AAdk,BBst,CChv,DDtv,EEmn,19.63
AAdk,BBst,CChv,DDnt,EEfh,280.92
AAdk,BBst,CChv,DDtv,EElp,924.8
AAdk,BBst,CChv,DDnt,EEfx,286.54
AAdk,BBst,CChv,DDtv,EEdn,293.23
AAdk,BBrz,CChv,DDnt,EEdn,294.77
AAdk,BBrz,CChv,DDtv,EEmn,424.15
AAdk,BBrz,CChv,DDnt,EEfh,684.17
AAdk,BBrz,CChv,DDtv,EElp,436.92
AAdk,BBrz,CChv,DDnt,EEfx,693.25
AAdk,BBrz,CChv,DDtv,EEdn,694.27
AAdk,BBtw,CChv,DDnt,EEdn,182.28
AAdk,BBtw,CChv,DDtv,EEmn,309.95
AAdk,BBtw,CChv,DDnt,EEfh,184.01
AAdk,BBtw,CChv,DDtv,EElp,698.31
AAdk,BBtw,CChv,DDnt,EEfx,187.17
AAdk,BBtw,CChv,DDtv,EEdn,701.68
AAdk,BBst,CChv,DDnt,EEdn,970.22
AAdk,BBst,CChv,DDtv,EEmn,595.39
AAdk,BBst,CChv,DDnt,EEfh,984.53
AAdk,BBst,CChv,DDtv,EElp,359.64
AAdk,BBst,CChv,DDnt,EEfx,368.93
AAdk,BBst,CChv,DDtv,EEdn,629.23
