Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,13.09
AAdk,BBtw,CCst,DDnw,17.91
AAdk,BBtw,CChv,DDrz,21.98
AAdk,BBtw,CCst,DDcl,919.85
AAdk,BBtw,CChv,DDlp,153.24
AAdk,BBtw,CCst,DDnt,800.6
AAdk,BBrv,CChv,DDnt,170.31
AAdk,BBrv,CCst,DDnw,683.3
AAdk,BBrv,CChv,DDrz,945.23
AAdk,BBrv,CCst,DDcl,818.81
AAdk,BBrv,CChv,DDlp,952.46
AAdk,BBrv,CCst,DDnt,957.06
AAdk,BBmn,CChv,DDnt,576.41
AAdk,BBmn,CCst,DDnw,329.2
AAdk,BBmn,CChv,DDrz,207.09
AAdk,BBmn,CCst,DDcl,978.56
AAdk,BBmn,CChv,DDlp,598.22
AAdk,BBmn,CCst,DDnt,599.15
AAdk,BBtw,CChv,DDnt,91.33
AAdk,BBtw,CCst,DDnw,997.79
AAdk,BBtw,CChv,DDrz,358.01
AAdk,BBtw,CCst,DDcl,870.66
AAdk,BBtw,CChv,DDlp,758.07
AAdk,BBtw,CCst,DDnt,125.22
