AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,142.75
AAdk,BBtw,CCst,DDnw,913.78
AAdk,BBtw,CCbx,DDrz,658.93
AAdk,BBtw,CChv,DDcl,666.22
AAdk,BBtw,CCst,DDlp,284.68
AAdk,BBtw,CCbx,DDcs,29.41
AAdk,BBtw,CChv,DDhm,927.85
AAdk,BBtw,CCst,DDdf,805.09
AAdk,BBtw,CCbx,DDnt,935.03
AAdk,BBrv,CChv,DDnt,811.31
AAdk,BBrv,CCst,DDnw,684.98
AAdk,BBrv,CCbx,DDrz,310.92
AAdk,BBrv,CChv,DDcl,825.4
AAdk,BBrv,CCst,DDlp,314.98
AAdk,BBrv,CCbx,DDcs,573.14
AAdk,BBrv,CChv,DDhm,65.17
AAdk,BBrv,CCst,DDdf,323.34
AAdk,BBrv,CCbx,DDnt,707.0
AAdk,BBmn,CChv,DDnt,462.9
AAdk,BBmn,CCst,DDnw,978.98
AAdk,BBmn,CCbx,DDrz,342.77
AAdk,BBmn,CChv,DDcl,86.33
AAdk,BBmn,CCst,DDlp,470.25
AAdk,BBmn,CCbx,DDcs,473.22
AAdk,BBmn,CChv,DDhm,609.62
AAdk,BBmn,CCst,DDdf,868.37
AAdk,BBmn,CCbx,DDnt,612.03
AAdk,BBtw,CChv,DDnt,869.22
AAdk,BBtw,CCst,DDnw,488.4
AAdk,BBtw,CCbx,DDrz,108.15
AAdk,BBtw,CChv,DDcl,748.69
AAdk,BBtw,CCst,DDlp,238.98
AAdk,BBtw,CCbx,DDcs,496.81
AAdk,BBtw,CChv,DDhm,113.41
AAdk,BBtw,CCst,DDdf,890.44
AAdk,BBtw,CCbx,DDnt,124.0
