AApqr-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,770.62
AApqr,BBnqx,CCbt,DDcy,EEbkv,259.21
AApqr,BBnqx,CCbt,DDcjx,EEkqy,764.99
AApqr,BBnqx,CCbt,DDmx,EEqz,261.66
AApqr,BBnqx,CCbt,DDcy,EEcrv,138.13
AApqr,BBnqx,CCbt,DDcjx,EEdhv,140.69
AApqr,BBnqx,CCbt,DDmx,EEbhk,782.82
AApqr,BBnqx,CCbt,DDcy,EEmz,18.59
AApqr,BBnqx,CCbt,DDcjx,EEbkv,531.85
AApqr,BBfnw,CCbt,DDmx,EEmz,148.68
AApqr,BBfnw,CCbt,DDcy,EEbkv,789.44
AApqr,BBfnw,CCbt,DDcjx,EEkqy,920.85
AApqr,BBfnw,CCbt,DDmx,EEqz,923.94
AApqr,BBfnw,CCbt,DDcy,EEcrv,924.33
AApqr,BBfnw,CCbt,DDcjx,EEdhv,289.19
AApqr,BBfnw,CCbt,DDmx,EEbhk,546.1
AApqr,BBfnw,CCbt,DDcy,EEmz,422.05
AApqr,BBfnw,CCbt,DDcjx,EEbkv,295.65
AApqr,BBlmr,CCbt,DDmx,EEmz,295.58
AApqr,BBlmr,CCbt,DDcy,EEbkv,45.61
AApqr,BBlmr,CCbt,DDcjx,EEkqy,943.59
AApqr,BBlmr,CCbt,DDmx,EEqz,561.97
AApqr,BBlmr,CCbt,DDcy,EEcrv,435.16
AApqr,BBlmr,CCbt,DDcjx,EEdhv,696.0
AApqr,BBlmr,CCbt,DDmx,EEbhk,958.82
AApqr,BBlmr,CCbt,DDcy,EEmz,959.75
AApqr,BBlmr,CCbt,DDcjx,EEbkv,449.26
AApqr,BBnqx,CCbt,DDmx,EEmz,199.6
AApqr,BBnqx,CCbt,DDcy,EEbkv,202.76
AApqr,BBnqx,CCbt,DDcjx,EEkqy,77.03
AApqr,BBnqx,CCbt,DDmx,EEqz,78.66
AApqr,BBnqx,CCbt,DDcy,EEcrv,719.11
AApqr,BBnqx,CCbt,DDcjx,EEdhv,601.54
AApqr,BBnqx,CCbt,DDmx,EEbhk,858.92
AApqr,BBnqx,CCbt,DDcy,EEmz,356.74
AApqr,BBnqx,CCbt,DDcjx,EEbkv,233.38
AApqr,BBfnw,CCbt,DDmx,EEmz,378.05
AApqr,BBfnw,CCbt,DDcy,EEbkv,624.74
AApqr,BBfnw,CCbt,DDcjx,EEkqy,369.88
AApqr,BBfnw,CCbt,DDmx,EEqz,240.27
AApqr,BBfnw,CCbt,DDcy,EEcrv,113.03
AApqr,BBfnw,CCbt,DDcjx,EEdhv,503.07
AApqr,BBfnw,CCbt,DDmx,EEbhk,890.48
AApqr,BBfnw,CCbt,DDcy,EEmz,636.98
AApqr,BBfnw,CCbt,DDcjx,EEbkv,127.35
