Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,642.82
AAdk,BBtw,CChv,DDtv,EEmn,904.61
AAdk,BBtw,CChv,DDpw,EEfh,906.11
AAdk,BBtw,CChv,DDnt,EElp,533.83
AAdk,BBtw,CChv,DDtv,EEfx,405.27
AAdk,BBtw,CChv,DDpw,EEhr,920.44
AAdk,BBst,CChv,DDnt,EEdn,283.27
AAdk,BBst,CChv,DDtv,EEmn,427.43
AAdk,BBst,CChv,DDpw,EEfh,813.39
AAdk,BBst,CChv,DDnt,EElp,49.47
AAdk,BBst,CChv,DDtv,EEfx,58.27
AAdk,BBst,CChv,DDpw,EEhr,188.14
AAdk,BBtw,CChv,DDnt,EEdn,708.77
AAdk,BBtw,CChv,DDtv,EEmn,326.45
AAdk,BBtw,CChv,DDpw,EEfh,213.3
AAdk,BBtw,CChv,DDnt,EElp,983.46
AAdk,BBtw,CChv,DDtv,EEfx,350.49
AAdk,BBtw,CChv,DDpw,EEhr,478.96
AAdk,BBst,CChv,DDnt,EEdn,867.58
AAdk,BBst,CChv,DDtv,EEmn,869.82
AAdk,BBst,CChv,DDpw,EEfh,105.17
AAdk,BBst,CChv,DDnt,EElp,878.63
AAdk,BBst,CChv,DDtv,EEfx,497.01
AAdk,BBst,CChv,DDpw,EEhr,117.05
