Import-AApqr,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,768.91
AApqr,BBnqx,CCbt,DDcy,EEbkv,397.95
AApqr,BBnqx,CCbt,DDcjx,EEkqy,784.37
AApqr,BBnqx,CCbt,DDmx,EEqz,274.65
AApqr,BBnqx,CCbt,DDcy,EEcrv,916.84
AApqr,BBnqx,CCbt,DDcjx,EEdhv,406.91
AApqr,BBnqx,CCbt,DDmx,EEbhk,537.95
AApqr,BBnqx,CCbt,DDcy,EEmz,282.48
AApqr,BBnqx,CCbt,DDcjx,EEbkv,411.31
AApqr,BBfnw,CCbt,DDmx,EEmz,939.85
AApqr,BBfnw,CCbt,DDcy,EEbkv,686.28
AApqr,BBfnw,CCbt,DDcjx,EEkqy,302.7
AApqr,BBfnw,CCbt,DDmx,EEqz,305.37
AApqr,BBfnw,CCbt,DDcy,EEcrv,562.18
AApqr,BBfnw,CCbt,DDcjx,EEdhv,695.84
AApqr,BBfnw,CCbt,DDmx,EEbhk,953.66
AApqr,BBfnw,CCbt,DDcy,EEmz,956.8
AApqr,BBfnw,CCbt,DDcjx,EEbkv,960.73
AApqr,BBlmr,CCbt,DDmx,EEmz,65.88
AApqr,BBlmr,CCbt,DDcy,EEbkv,323.99
AApqr,BBlmr,CCbt,DDcjx,EEkqy,197.42
AApqr,BBlmr,CCbt,DDmx,EEqz,972.07
AApqr,BBlmr,CCbt,DDcy,EEcrv,717.4
AApqr,BBlmr,CCbt,DDcjx,EEdhv,205.08
AApqr,BBlmr,CCbt,DDmx,EEbhk,718.84
AApqr,BBlmr,CCbt,DDcy,EEmz,977.34
AApqr,BBlmr,CCbt,DDcjx,EEbkv,337.36
AApqr,BBnqx,CCbt,DDmx,EEmz,85.67
AApqr,BBnqx,CCbt,DDcy,EEbkv,854.05
AApqr,BBnqx,CCbt,DDcjx,EEkqy,984.3
AApqr,BBnqx,CCbt,DDmx,EEqz,476.18
AApqr,BBnqx,CCbt,DDcy,EEcrv,476.61
AApqr,BBnqx,CCbt,DDcjx,EEdhv,350.06
AApqr,BBnqx,CCbt,DDmx,EEbhk,349.09
AApqr,BBnqx,CCbt,DDcy,EEmz,353.39
AApqr,BBnqx,CCbt,DDcjx,EEbkv,612.95
AApqr,BBfnw,CCbt,DDmx,EEmz,614.06
AApqr,BBfnw,CCbt,DDcy,EEbkv,489.38
AApqr,BBfnw,CCbt,DDcjx,EEkqy,745.28
AApqr,BBfnw,CCbt,DDmx,EEqz,881.37
AApqr,BBfnw,CCbt,DDcy,EEcrv,497.39
AApqr,BBfnw,CCbt,DDcjx,EEdhv,885.42
AApqr,BBfnw,CCbt,DDmx,EEbhk,759.87
AApqr,BBfnw,CCbt,DDcy,EEmz,509.33
AApqr,BBfnw,CCbt,DDcjx,EEbkv,510.76
