DD,EE,AApqr_BBlmr_CCbt,AApqr_BBfnw_CCbt,AApqr_BBnqx_CCbt,Average
DDcy,,446.87,520.57,433.93,467.12
,  EEmz,711.54,527.69,572.18,603.80
,  EEbkv,565.61,195.44,424.33,395.13
,  EEcrv,63.45,838.59,305.28,402.44
DDmx,,656.43,412.13,367.30,478.62
,  EEbhk,193.85,782.03,312.76,429.55
,  EEmz,818.28,128.21,550.19,498.89
,  EEqz,957.15,326.15,238.94,507.41
DDcjx,,749.26,439.56,437.33,542.05
,  EEdhv,961.53,585.56,436.53,661.21
,  EEkqy,445.61,644.95,365.26,485.27
,  EEbkv,840.64,88.18,510.18,479.67
Average,,617.52,457.42,412.85,495.93
,  ,617.52,457.42,412.85,495.93
