CC,DD,AApqr_BBbgp,AApqr_BBcjx,AApqr_BBnqx,AAcy_BBbkv,AAcy_BBhpt,AAmz_BBbpv,AAmz_BBgqt,AAmz_BBdhv,Minimum
CChpx,DDlmr,77.34,34.75,6.04,26.25,62.81,51.53,17.36,88.93,6.04
,DDcmp,81.65,38.74,9.74,29.83,69.88,54.86,19.16,91.93,9.74
,DDkrs,85.51,43.52,13.82,27.91,74.43,58.17,23.65,99.39,13.82
CCfnw,DDkrs,73.88,34.83,4.69,25.84,58.19,50.14,16.54,86.08,4.69
,DDmx,80.06,41.34,11.50,31.40,70.39,56.15,22.35,98.41,11.50
,DDqz,80.80,34.63,8.40,28.50,70.79,53.30,19.87,88.40,8.40
CCbt,DDcwz,79.76,36.28,7.22,24.09,69.15,52.21,17.95,88.76,7.22
,DDbmz,81.07,38.35,10.65,30.83,69.89,54.92,20.09,87.02,10.65
,DDmx,74.19,33.67,3.84,22.63,58.04,45.70,15.62,86.26,3.84
Minimum,,73.88,33.67,3.84,22.63,58.04,45.70,15.62,86.08,3.84
