CC,DD,AAcy_BBhpt,AAcy_BBbkv,AApqr_BBcjx,AApqr_BBnqx,AApqr_BBbgp,AAmz_BBbpv,AAmz_BBgqt,AAmz_BBdhv,Minimum
CChpx,DDcmp,78.12,34.94,48.09,9.78,83.85,60.53,22.66,96.19,9.78
,DDlmr,62.37,30.49,40.16,5.43,84.73,59.01,13.99,93.38,5.43
,DDmx,81.32,36.65,54.59,13.32,90.88,65.20,28.92,76.99,13.32
CCfnw,DDgv,80.73,35.62,51.16,11.16,88.86,62.67,27.91,92.69,11.16
,DDqz,77.77,29.85,48.68,6.13,84.23,61.71,20.30,94.27,6.13
,DDkrs,67.42,30.97,38.11,4.61,80.59,57.51,15.58,92.91,4.61
CCbt,DDbmz,77.32,35.52,48.50,9.25,88.74,61.63,23.65,97.59,9.25
,DDmx,65.88,29.12,38.95,2.62,82.70,55.18,79.37,90.90,2.62
,DDcwz,76.57,31.26,34.01,4.90,84.84,59.37,14.85,94.22,4.90
Minimum,,62.37,29.12,34.01,2.62,80.59,55.18,13.99,76.99,2.62
