CC,DD,EE,FF,AApqr_BBlt,AApqr_BBqz,AApqr_BBnqx,AAcqx_BBcjx,AAcqx_BBksy,AAcqx_BBgv,AAfnw_BBknr,AAfnw_BBbgp,AAfnw_BBkrs
CCkqy,DDmx,EEmz,FFgqt,79.20,45.49,13.01,30.33,99.98,13.93,87.97,56.17,22.45
,DDbsz,EEhpx,FFlmr,76.77,40.47,7.80,29.38,94.74,62.37,84.65,52.00,19.48
,DDcwz,EEmz,FFgqt,72.63,37.71,4.02,24.95,90.42,58.18,82.90,49.44,16.40
CCcy,DDbmz,EEmz,FFgqt,75.77,36.94,4.99,28.16,92.23,61.03,84.77,52.31,17.96
,DDhlt,EEhpx,FFlmr,78.78,42.80,7.28,31.94,97.24,65.71,87.12,55.35,19.96
,DDbkv,EEhpx,FFlmr,70.92,36.97,3.27,23.53,85.16,57.22,81.77,47.03,15.39
CCbt,DDmx,EEmz,FFgqt,69.20,35.66,1.48,23.64,81.33,57.75,77.15,45.21,14.63
,DDhpt,EEhpx,FFlmr,74.14,38.56,4.00,27.59,92.96,58.81,82.84,51.29,17.57
,DDmpy,EEmz,FFgqt,77.07,42.08,8.45,30.26,96.63,63.24,81.97,54.30,20.52
Minimum,,,,69.20,35.66,1.48,23.53,81.33,13.93,77.15,45.21,14.63
