CC,DD,EE,FF,AAfnw_BBkrs,AAfnw_BBbgp,AAcqx_BBcjx,AAcqx_BBgv,AApqr_BBnqx,AApqr_BBqz
CCcy,DDbmz,EEmz,FFgqt,35.11,81.24,45.87,96.59,13.43,64.24
,DDmx,EEhpx,FFlmr,35.74,89.96,53.87,99.41,22.84,68.43
,DDbkv,EEhpx,FFlmr,33.64,75.01,42.70,93.63,8.54,58.10
CCkqy,DDbsz,EEhpx,FFlmr,38.47,86.21,46.38,97.40,20.99,64.01
,DDcwz,EEmz,FFgqt,35.15,77.23,45.21,93.16,7.41,60.83
,DDbkv,EEmz,FFgqt,42.98,88.85,52.83,95.96,25.32,72.95
CCbt,DDmpy,EEmz,FFgqt,36.34,88.47,52.86,97.50,21.72,68.33
,DDhpt,EEhpx,FFlmr,36.31,75.48,45.69,95.38,10.73,64.64
,DDmx,EEmz,FFgqt,29.79,75.81,42.87,88.36,7.93,57.48
Minimum,,,,29.79,75.01,42.70,88.36,7.41,57.48
