CC,DD,EE,FF,AAfnw_BBkrs,AAfnw_BBqz,AApqr_BBbgp,AApqr_BBnqx,AApqr_BBcjx
CCcy,DDbkv,EEhpx,FFlmr,16.42,54.89,77.83,1.71,37.40
,DDbmz,EEmz,FFlmr,28.34,59.73,94.94,5.04,41.14
,DDmx,EEhpx,FFlmr,33.36,69.34,97.28,15.54,48.05
CCkqy,DDbsz,EEhpx,FFbpv,28.95,62.86,97.65,7.17,42.70
,DDbkv,EEmz,FFbpv,34.93,74.91,98.54,16.88,52.45
,DDcwz,EEmz,FFbpv,20.39,57.38,79.85,3.71,37.15
CCbt,DDhpt,EEhpx,FFgqt,22.65,57.24,85.85,5.25,40.58
,DDmx,EEmz,FFgqt,16.22,53.00,76.11,1.04,36.46
,DDmpy,EEmz,FFgqt,31.19,68.33,98.31,14.88,40.80
Minimum,,,,16.22,53.00,76.11,1.04,36.46
