CC,DD,EE,FF,AApqr_BBnqx,AApqr_BBcjx,AAfnw_BBqz,AAfnw_BBkrs,Minimum
CCkqy,DDcwz,EEmz,FFbpv,6.66,51.65,88.50,35.17,6.66
,DDbsz,EEhpx,FFbpv,15.63,54.98,91.99,40.73,15.63
,DDbkv,EEmz,FFbpv,19.23,61.93,98.82,46.59,19.23
CCcy,DDmx,EEhpx,FFlmr,18.11,58.29,97.27,46.21,18.11
,DDbmz,EEmz,FFlmr,11.35,54.74,90.15,38.70,11.35
,DDbkv,EEhpx,FFlmr,2.45,49.86,84.86,32.74,2.45
CCbt,DDmx,EEmz,FFgqt,0.80,47.66,73.40,30.04,0.80
,DDmpy,EEmz,FFgqt,16.84,57.37,95.79,41.66,16.84
,DDhpt,EEhpx,FFgqt,7.19,52.54,88.35,37.09,7.19
Minimum,,,,0.80,47.66,73.40,30.04,0.80
