CC,DD,AApqr_BBbgp,AApqr_BBnqx,AApqr_BBcjx,AAmz_BBbpv,AAmz_BBgqt,AAcy_BBbkv,AAcy_BBhpt
CChpx,,90.26,7.56,59.50,70.86,25.47,40.14,77.01
,  DDlmr,90.26,7.56,59.50,70.86,25.47,40.14,77.97
,  DDdlz,97.28,22.20,65.14,78.41,27.98,53.80,82.22
,  DDcmp,94.35,13.35,63.95,73.92,26.40,49.46,77.01
CCbt,,88.28,3.06,55.38,68.08,24.60,25.34,79.21
,  DDbmz,94.87,19.86,64.65,75.30,30.67,51.32,85.71
,  DDcwz,92.82,10.40,60.72,72.45,27.70,42.27,81.35
,  DDmx,88.28,3.06,55.38,68.08,24.60,25.34,79.21
CCfnw,,90.51,4.92,59.33,70.98,25.45,36.84,80.60
,  DDqz,93.41,11.25,62.23,73.64,28.73,43.67,80.81
,  DDgv,96.37,21.85,63.92,77.40,31.25,52.28,86.50
,  DDkrs,90.51,4.92,59.33,70.98,25.45,36.84,80.60
Minimum,,88.28,3.06,55.38,68.08,24.60,25.34,77.01
,  ,88.28,3.06,55.38,68.08,24.60,25.34,77.01
