CC,DD,AAdk_BBtw,AAdk_BBdl,AAdk_BBmn,AAdn_BBrv,AAdn_BBpw
CCbx,,8.88,86.42,41.93,22.08,60.79
,  DDcs,16.85,90.04,50.97,31.94,70.46
,  DDnw,17.13,99.71,56.62,34.36,75.41
,  DDrz,8.88,86.42,41.93,22.08,60.79
CCst,,4.36,84.88,36.79,18.53,57.95
,  DDlp,9.79,88.86,44.12,28.15,68.36
,  DDnw,4.36,84.88,36.79,18.53,57.95
,  DDnt,18.91,97.93,55.06,33.47,74.32
CChv,,0.12,74.17,34.43,20.67,57.35
,  DDhm,17.31,90.52,51.99,32.05,74.60
,  DDcl,8.68,87.43,43.78,23.42,60.71
,  DDnt,0.12,74.17,34.43,20.67,57.35
Minimum,,0.12,74.17,34.43,18.53,57.35
,  ,0.12,74.17,34.43,18.53,57.35
