CC,DD,AAdk_BBqx,AAdk_BBpw,AAdk_BBtw,AAtv_BBmn,AAtv_BBhz,AAdn_BBrv,AAdn_BBdl
Minimum,,88.46,39.19,4.20,26.48,67.84,18.18,59.85
,  ,88.46,39.19,4.20,26.48,67.84,18.18,59.85
CChv,,88.46,39.19,4.20,26.81,71.84,18.18,59.85
,  DDlp,94.98,56.84,12.11,26.81,83.57,23.92,69.18
,  DDnt,88.46,39.19,4.20,27.56,71.84,18.18,59.85
,  DDrz,93.30,53.88,10.55,29.12,73.24,21.58,66.22
CCst,,91.76,49.28,5.00,26.48,67.84,18.38,66.42
,  DDnt,94.32,59.32,13.91,26.48,83.70,26.31,66.42
,  DDnw,91.76,49.28,5.00,28.38,67.84,18.38,66.78
,  DDcl,94.23,54.61,11.24,29.06,73.80,21.62,68.58
