CC,DD,AAdk_BBtw,AAdk_BBpw,AAtv_BBhz,AAtv_BBmn,AAdn_BBrv,AAdn_BBdl,Minimum
CChv,,0.81,46.90,81.47,38.01,23.96,62.23,0.81
,  DDnt,0.88,46.90,81.47,38.01,23.96,62.23,0.88
,  DDrz,0.81,49.51,95.41,41.21,31.78,67.60,0.81
,  DDlp,7.07,59.51,96.37,43.03,36.04,69.78,7.07
CCst,,0.77,45.31,88.25,40.12,31.76,65.93,0.77
,  DDnt,10.98,60.55,98.91,45.27,36.79,73.01,10.98
,  DDcl,6.12,56.40,96.51,42.93,32.06,68.05,6.12
,  DDnw,0.77,45.31,88.25,40.12,31.76,65.93,0.77
Minimum,,0.77,45.31,81.47,38.01,23.96,62.23,0.77
,  ,0.77,45.31,81.47,38.01,23.96,62.23,0.77
