CC,DD,AApqr_BBlt,AApqr_BBqz,AApqr_BBnqx,AAfnw_BBbgp,AAfnw_BBkrs,AAcqx_BBgv,AAcqx_BBcjx,EE,FF
CCbt,,75.47,38.68,0.71,49.53,15.98,65.03,23.88,,
,  DDhpt,83.38,41.03,4.19,50.86,19.79,68.55,29.07,EEmz,FFgqt
,  DDmx,75.47,38.68,0.71,49.53,15.98,65.03,23.88,EEmz,FFgqt
,  DDmpy,96.80,44.68,9.52,51.70,22.01,71.96,32.48,EEmz,FFgqt
CCcy,,82.13,39.62,1.76,49.79,16.68,65.81,26.47,,
,  DDbkv,82.13,39.62,1.76,49.79,16.68,65.81,26.47,EEmz,FFgqt
,  DDbmz,87.28,42.54,6.88,53.18,20.74,68.79,30.96,EEmz,FFgqt
,  DDhlt,98.11,44.63,11.20,62.14,23.21,68.47,31.32,EEmz,FFgqt
CCkqy,,82.64,40.86,0.84,51.52,17.86,67.80,23.52,,
,  DDbsz,92.98,43.09,6.30,54.29,20.56,70.46,31.87,EEmz,FFgqt
,  DDcwz,82.64,40.86,0.84,51.52,17.86,67.80,23.52,EEmz,FFgqt
,  DDmx,99.43,44.72,12.82,63.77,24.38,74.14,35.76,EEmz,FFgqt
