CC,DD,AApqr_BBcjx,AApqr_BBbgp,AApqr_BBnqx,AAfnw_BBkrs,AAfnw_BBqz,EE,FF
CCkqy,,54.09,89.71,13.16,34.86,72.46,,
,  DDmx,64.57,98.17,19.30,47.74,81.73,EEmz,FFbpv
,  DDbsz,60.87,94.40,19.10,39.63,76.05,EEhpx,FFbpv
,  DDcwz,54.09,89.71,13.16,34.86,72.46,EEmz,FFbpv
CCbt,,52.84,84.33,9.16,23.54,68.10,,
,  DDmpy,62.17,98.11,20.31,40.10,76.88,EEmz,FFgqt
,  DDmx,52.84,84.33,9.16,23.54,68.10,EEmz,FFgqt
,  DDhpt,54.30,91.23,16.58,35.06,74.83,EEhpx,FFgqt
CCcy,,54.19,89.50,10.73,32.01,71.23,,
,  DDbkv,54.19,89.50,10.73,32.01,71.23,EEhpx,FFlmr
,  DDhlt,64.26,99.58,19.19,43.84,81.81,EEhpx,FFlmr
,  DDbmz,56.53,93.82,18.60,38.16,75.06,EEmz,FFlmr
Minimum,,52.84,84.33,9.16,23.54,68.10,,
,  ,52.84,84.33,9.16,23.54,68.10,,
