CC,DD,AAfnw_BBkrs,AAfnw_BBbgp,AAcqx_BBgv,AAcqx_BBcjx,AApqr_BBnqx,AApqr_BBqz,AApqr_BBlt,EE,FF
Minimum,,19.48,62.68,69.74,41.96,0.43,56.77,86.40,,
,  ,19.48,62.68,69.74,41.96,0.43,56.77,86.40,,
CCcy,,21.13,62.94,71.25,43.71,2.24,57.47,86.46,,
,  DDmx,40.44,69.95,82.97,54.25,18.15,61.44,97.22,EEhpx,FFbpv
,  DDhpt,28.21,64.22,72.07,46.90,11.06,59.53,91.05,EEhpx,FFgqt
,  DDbkv,21.13,62.94,71.25,43.71,2.24,57.47,86.46,EEhpx,FFlmr
CCbt,,19.48,62.68,69.74,41.96,0.43,56.77,86.40,,
,  DDbmz,35.01,66.64,74.67,51.17,17.09,60.65,93.03,EEmz,FFlmr
,  DDmx,19.48,62.68,70.60,41.96,0.43,56.77,86.40,EEmz,FFgqt
,  DDcwz,26.66,62.88,69.74,44.69,9.48,57.53,91.85,EEmz,FFbpv
